# wave type count hp speed spawnInterval
# Bloon mapping: Red=slime Blue=blueSlime Green=greenCamoSlime Yellow=yellowSlime
# Pink=purpleSlime Black/White/Zebra=metalSlime Rainbow=rainbowSlime
# Ceramic=redSlime(hp15) MOAB=redSlime(hp50) BFB=redSlime(hp150) ZOMG=redSlime(hp400) BAD=redSlime(hp1000+)

1 slime 20 2 1.5 30
2 slime 35 2 1.5 30
3 slime 25 2 1.5 30
3 blueSlime 5 3 1.8 30
4 slime 35 2 1.5 30
4 blueSlime 18 3 1.8 30
5 slime 5 2 1.5 30
5 blueSlime 27 3 1.8 30
6 slime 15 2 1.5 30
6 blueSlime 15 3 1.8 30
6 greenCamoSlime 4 4 2.0 35
7 slime 20 2 1.5 30
7 blueSlime 20 3 1.8 30
7 greenCamoSlime 5 4 2.0 35
8 slime 10 2 1.5 30
8 blueSlime 20 3 1.8 30
8 greenCamoSlime 14 4 2.0 35
9 greenCamoSlime 30 4 2.0 28
10 blueSlime 60 3 1.8 18
11 slime 10 2 1.5 28
11 blueSlime 10 3 1.8 28
11 greenCamoSlime 12 4 2.0 30
11 yellowSlime 3 5 2.5 35
12 slime 15 2 1.5 28
12 blueSlime 10 3 1.8 28
12 greenCamoSlime 5 4 2.0 32
13 slime 50 2 1.5 18
13 purpleSlime 23 6 3.0 28
14 slime 49 2 1.5 18
14 blueSlime 15 3 1.8 24
14 greenCamoSlime 10 4 2.0 28
14 yellowSlime 9 5 2.5 32
15 slime 20 2 1.5 24
15 blueSlime 15 3 1.8 24
15 greenCamoSlime 12 4 2.0 28
15 yellowSlime 10 5 2.5 28
15 purpleSlime 5 6 3.0 32
16 greenCamoSlime 40 4 2.0 20
16 yellowSlime 8 5 2.5 28
17 yellowSlime 12 5 2.5 24
18 greenCamoSlime 60 4 2.0 16
19 slime 10 2 1.5 24
19 blueSlime 4 3 1.8 28
19 greenCamoSlime 5 4 2.0 28
19 yellowSlime 15 5 2.5 22
20 metalSlime 6 8 1.8 50
21 slime 40 2 1.5 20
21 yellowSlime 14 5 2.5 26
22 yellowSlime 16 5 2.5 24
23 metalSlime 7 8 1.8 42
23 yellowSlime 7 5 2.5 28
24 slime 20 2 1.5 22
24 redSlime 1 50 0.8 120
25 slime 25 2 1.5 20
25 yellowSlime 10 5 2.5 26
26 slime 23 2 1.5 20
26 metalSlime 4 10 1.5 52
27 slime 40 2 1.5 16
27 blueSlime 25 3 1.8 20
27 greenCamoSlime 18 4 2.0 22
27 yellowSlime 18 5 2.5 22
28 metalSlime 6 12 1.5 52
29 slime 50 2 1.5 18
29 yellowSlime 15 5 2.5 26
30 metalSlime 9 10 1.5 48
31 metalSlime 8 8 1.8 36
31 metalSlime 8 10 1.5 40
31 metalSlime 8 10 1.5 36
31 rainbowSlime 2 12 2.0 120
32 slime 15 2 1.5 22
32 yellowSlime 20 5 2.5 20
32 purpleSlime 10 6 3.0 26
33 metalSlime 20 8 1.8 28
33 yellowSlime 13 5 2.5 26
34 slime 80 2 1.5 12
34 blueCamoSlime 6 5 2.0 48
35 metalSlime 35 8 1.8 26
35 blueSlime 30 3 1.8 20
35 metalSlime 25 10 1.5 30
35 yellowSlime 5 5 2.5 28
36 greenCamoSlime 70 4 2.0 12
36 yellowSlime 15 5 2.5 20
37 metalSlime 25 8 1.8 26
37 yellowSlime 35 5 2.5 20
37 purpleSlime 15 6 3.0 26
38 metalSlime 42 8 1.8 20
38 yellowSlime 27 5 2.5 20
38 rainbowSlime 2 12 2.0 100
39 metalSlime 10 8 1.8 30
39 slime 10 2 1.5 22
39 yellowSlime 20 5 2.5 20
39 purpleSlime 18 6 3.0 22
39 rainbowSlime 2 12 2.0 100
40 redSlime 1 75 0.8 120
41 slime 50 2 1.5 16
41 blueCamoSlime 50 5 2.0 16
42 yellowSlime 6 5 2.5 28
42 purpleSlime 5 6 3.0 30
43 slime 10 2 1.5 28
43 purpleSlime 7 6 3.0 28
44 slime 50 2 1.5 16
45 purpleSlime 80 6 3.0 12
45 slime 10 2 1.5 22
45 redSlime 4 15 2.0 55
45 yellowSlime 20 5 2.5 20
46 redSlime 6 15 2.0 52
47 slime 70 2 1.5 16
47 purpleSlime 12 6 3.0 26
48 purpleSlime 35 6 3.0 16
48 slime 25 2 1.5 20
48 yellowSlime 35 5 2.5 16
48 greenCamoSlime 3 4 2.0 48
49 slime 60 2 1.5 10
49 yellowSlime 15 5 2.5 16
49 yellowSlime 15 5 2.5 16
49 slime 10 2 1.5 16
49 yellowSlime 15 5 2.5 16
50 slime 20 2 1.5 16
50 yellowSlime 28 5 2.5 16
50 redSlime 2 75 0.8 150
51 yellowSlime 10 5 2.5 22
51 metalSlime 15 8 1.8 30
52 slime 25 2 1.5 20
52 yellowSlime 10 5 2.5 22
52 redSlime 2 15 2.0 52
53 slime 80 2 1.5 13
53 redSlime 3 15 2.0 52
54 slime 35 2 1.5 20
54 redSlime 2 15 2.0 52
55 slime 45 2 1.5 16
55 redSlime 1 100 0.8 120
56 yellowSlime 40 5 2.5 16
56 redSlime 1 100 0.8 120
57 slime 40 2 1.5 16
57 redSlime 4 15 2.0 52
58 greenCamoSlime 15 4 2.0 20
58 blueSlime 10 3 1.8 26
58 redSlime 5 15 2.0 52
59 metalSlime 50 8 1.8 16
59 blueSlime 20 3 1.8 20
59 purpleSlime 10 6 3.0 26
60 redSlime 1 150 0.5 120
61 blueCamoSlime 80 5 2.0 10
61 redSlime 5 100 0.8 120
62 slime 60 2 1.5 10
62 yellowSlime 15 5 2.5 16
62 greenCamoSlime 5 4 2.0 20
62 redSlime 2 100 0.8 120
63 slime 50 2 1.5 13
63 greenCamoSlime 70 4 2.0 10
64 redSlime 6 15 2.0 48
64 redSlime 3 150 0.5 180
65 slime 40 2 1.5 13
65 yellowSlime 30 5 2.5 13
65 greenCamoSlime 25 4 2.0 13
65 redSlime 3 100 0.8 120
65 redSlime 2 150 0.5 180
66 redSlime 8 15 2.0 48
66 redSlime 3 150 0.5 180
67 redSlime 13 15 2.0 44
67 redCamoSlime 8 15 2.0 48
68 redSlime 4 15 2.0 48
68 redSlime 1 150 0.5 180
69 greenCamoSlime 35 4 2.0 16
69 yellowSlime 35 5 2.5 16
69 greenCamoSlime 40 4 2.0 14
70 purpleSlime 50 6 3.0 10
70 yellowSlime 60 5 2.5 9
70 redSlime 4 100 0.8 120
71 slime 30 2 1.5 20
71 yellowSlime 10 5 2.5 22
72 purpleSlime 38 6 3.0 16
72 redSlime 2 150 0.5 180
73 redSlime 8 15 2.0 44
73 redSlime 2 100 0.8 120
74 slime 35 2 1.5 16
74 blueSlime 40 3 1.8 16
74 metalSlime 20 8 1.8 20
74 redSlime 1 1000 0.2 300
75 slime 14 2 1.5 20
75 yellowSlime 21 5 2.5 20
75 redSlime 3 100 0.8 120
76 redSlime 40 15 2.0 28
77 slime 11 2 1.5 26
77 redSlime 5 150 0.5 180
78 greenCamoSlime 30 4 2.0 13
78 yellowSlime 50 5 2.5 10
78 slime 30 2 1.5 13
78 yellowSlime 30 5 2.5 10
78 redSlime 1 1000 0.2 300
79 slime 80 2 1.5 9
79 redSlime 4 150 0.5 180
79 redSlime 2 400 0.3 240
80 redSlime 1 1000 0.2 300
81 redSlime 17 15 2.0 36
82 slime 10 2 1.5 22
82 redSlime 5 150 0.5 180
83 greenCamoSlime 35 4 2.0 16
83 yellowSlime 35 5 2.5 16
83 slime 35 2 1.5 16
83 redCamoSlime 20 15 2.0 30
84 slime 50 2 1.5 16
84 redSlime 10 150 0.5 180
85 redSlime 2 400 0.3 240
86 redSlime 5 150 0.5 180
87 redSlime 4 1000 0.2 300
88 slime 18 2 1.5 20
88 redSlime 8 150 0.5 180
88 redSlime 2 400 0.3 240
89 yellowSlime 20 5 2.5 16
89 redSlime 8 1000 0.2 300
90 greenCamoSlime 50 4 2.0 14
90 redSlime 3 1000 0.2 300
91 slime 60 2 1.5 12
91 redSlime 15 150 0.5 120
92 yellowSlime 50 5 2.5 14
92 redSlime 4 400 0.3 240
93 yellowSlime 10 5 2.5 20
93 redSlime 6 1000 0.2 300
94 slime 25 2 1.5 18
94 redSlime 6 1000 0.2 300
95 slime 60 2 1.5 9
95 yellowSlime 40 5 2.5 9
95 greenCamoSlime 25 4 2.0 10
95 redSlime 15 1000 0.2 300
96 slime 40 2 1.5 16
96 redSlime 30 150 0.5 120
96 redSlime 6 400 0.3 240
97 redSlime 2 400 0.3 240
